8638,4301,161,7,6910,0.2453
9850,7419,242,9,7880,0
9537,6058,157,7,7629,0.04531
5013,3513,111,8,4010,0.00782
2224,772,54,9,1779,0.64481
3598,2257,169,8,2878,0.05315
5902,1121,126,7,4721,0.81518
1632,778,91,9,1305,0.37755
1750,494,101,6,1400,0.65383
7593,7290,63,8,6074,0
9150,2406,148,8,7320,0.68346
675,643,135,7,540,0
637,511,179,8,509,0
7973,6916,96,6,6378,0
9427,2901,101,6,7541,0.61972
2729,1789,239,8,2183,0.0142
3387,2563,113,9,2709,0.00013
4089,3397,126,8,3271,0
5635,3124,189,7,4508,0.14669
1687,692,75,6,1349,0.45602
4039,3801,201,8,3231,0
503,463,182,6,402,0
7901,3830,249,7,6320,0.28046
4178,2190,90,9,3342,0.27065
1389,464,211,7,1111,0.53643
7008,3259,59,7,5606,0.38595
6550,1393,211,8,5240,0.77759
5095,676,194,6,4076,0.85804
9277,3813,53,6,7421,0.48353
5150,1408,242,7,4120,0.64067
950,817,226,9,760,0
2610,1904,198,7,2088,8.00E-05
386,326,231,6,308,0
2381,2205,229,6,1904,0
5250,3305,243,8,4200,0.03552
7502,5256,159,8,6001,0.00334
1115,589,196,7,892,0.198
6866,1157,124,9,5492,0.88628
1253,1184,229,9,1002,0
8212,570,217,9,6569,0.97355
4597,2063,217,6,3677,0.32228
7369,5635,191,8,5895,0
8052,4268,190,7,6441,0.20142
1418,375,107,7,1134,0.712
336,255,245,7,268,0
8148,5753,193,7,6518,0.00103
5074,423,174,9,4059,0.9687
9952,7476,193,9,7961,1.00E-05
8857,5494,187,8,7085,0.05438
8544,7626,242,6,6835,0
5826,2469,151,9,4660,0.41804
6584,6040,225,8,5267,0
363,252,121,8,290,0.00975
4612,3652,247,9,3689,0
6972,6568,192,9,5577,0
5185,1627,96,9,4148,0.68296
3836,2065,197,9,3068,0.19927
626,355,169,6,500,0.12931
9963,6124,80,8,7970,0.12454
8762,5140,94,7,7009,0.13895
8257,4981,132,9,6605,0.10237
2833,654,217,8,2266,0.73681
5976,4375,134,8,4780,0.00053
7181,914,119,9,5744,0.94847
7678,6349,121,8,6142,0
1934,885,195,6,1547,0.30328
1722,1498,189,6,1377,0
7305,1687,220,8,5844,0.73172
3495,2865,82,9,2796,0
346,287,241,9,276,0
9428,8040,50,6,7542,0
9924,5634,212,9,7939,0.14502
4935,3070,193,8,3948,0.0531
9992,6897,108,8,7993,0.01321
5421,5233,211,9,4336,0
859,289,105,9,687,0.62011
9625,9386,55,6,7700,0
5652,4596,165,6,4521,0
2412,1249,240,9,1929,0.22418
400,340,75,9,320,0
2640,876,100,9,2112,0.63353
5491,2030,146,6,4392,0.47451
1037,749,165,8,829,0.00057
2176,417,57,9,1740,0.91025
7614,2366,59,7,6091,0.69704
8818,1118,188,8,7054,0.91353
7917,7206,211,8,6333,0
5475,2953,117,6,4380,0.19658
6976,6010,89,7,5580,0
7894,7453,154,8,6315,0
2001,1260,246,8,1600,0.03505
3050,2313,240,8,2440,0
1001,963,72,9,800,0
8219,1757,194,6,6575,0.731
5428,2039,74,8,4342,0.55941
5864,1722,76,8,4691,0.6901
6395,5009,99,6,5116,0
9609,7621,185,8,7687,0
7978,5974,84,7,6382,0.00087
9220,7159,101,8,7376,4.00E-05
283,264,115,8,226,0
4521,2424,170,7,3616,0.2007
703,425,61,7,562,0.14943
1395,1269,126,6,1116,0
1788,488,181,6,1430,0.63975
4658,3940,184,6,3726,0
3335,3274,76,6,2668,0
8084,2078,147,6,6467,0.67582
1981,546,130,6,1584,0.64669
5305,1933,55,7,4244,0.59194
7327,6704,111,7,5861,0
8841,1183,206,9,7072,0.91605
7529,1207,221,9,6023,0.89113
7491,3983,71,8,5992,0.28664
940,708,104,9,752,0.00023
8682,977,75,6,6945,0.92545
7642,3954,164,9,6113,0.25866
8771,8302,193,6,7016,0
